,CompensationCurrency,GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,LanguageRecommendationSelect,CompensationAmount,ExchangeRate(USA),CompensationYearUSD
6863,NA,Female,Canada,27,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Mathematics or statistics,3 to 5 years,NA,NA,NA,NA
6864,NA,Male,Canada,21,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by college or university,No,Bachelor's degree,Physics,Less than a year,NA,NA,NA,NA
6865,NA,Male,Canada,74,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,DBA/Database Engineer,Poorly,Self-employed,Sort of (Explain more),Doctoral degree,Other,More than 10 years,NA,NA,NA,NA
6866,NA,Male,Canada,29,Employed full-time,NA,NA,Yes,NA,Data Analyst,Poorly,Employed by a company that doesn't perform advanced analytics,Yes,Doctoral degree,Electrical Engineering,1 to 2 years,NA,NA,NA,NA
6867,NA,Male,Canada,35,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,NA,Master's degree,Electrical Engineering,6 to 10 years,NA,NA,NA,NA
6868,NA,Female,Canada,45,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Some college/university study without earning a bachelor's degree,NA,NA,NA,NA,NA,NA
6869,NA,Male,Canada,22,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Perfectly,Employed by company that makes advanced analytic software,Yes,Master's degree,Psychology,6 to 10 years,NA,NA,NA,NA
6870,NA,Male,Canada,20,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Computer Scientist,Perfectly,Self-employed,Yes,Bachelor's degree,Computer Science,Less than a year,NA,NA,NA,NA
6871,NA,Male,Canada,30,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,Physics,3 to 5 years,NA,NA,NA,NA
6872,NA,Male,Canada,32,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Business Analyst,Fine,Self-employed,Sort of (Explain more),Master's degree,Other,1 to 2 years,NA,NA,NA,NA
6873,NA,Male,Canada,25,"Not employed, and not looking for work",Yes,"Yes, I'm focused on learning mostly data science skills",NA,NA,NA,NA,NA,No,Master's degree,Mathematics or statistics,NA,R,NA,NA,NA
6874,NA,Male,Canada,23,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,Poorly,Employed by professional services/consulting firm,NA,Master's degree,NA,6 to 10 years,NA,NA,NA,NA
6875,NA,Male,Canada,46,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,Fine,Employed by company that makes advanced analytic software,NA,Master's degree,Computer Science,6 to 10 years,NA,NA,NA,NA
6876,NA,Male,Canada,43,Employed full-time,NA,NA,Yes,NA,Programmer,Fine,Employed by professional services/consulting firm,No,Bachelor's degree,Computer Science,3 to 5 years,NA,NA,NA,NA
6877,NA,Male,Canada,44,"Independent contractor, freelancer, or self-employed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6878,NA,Male,Canada,20,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,"Employed by a company that performs advanced analytics,Employed by government",Sort of (Explain more),Bachelor's degree,Computer Science,3 to 5 years,NA,NA,NA,NA
6879,NA,Male,Canada,38,Employed full-time,NA,NA,Yes,NA,Other,Poorly,NA,No,Master's degree,NA,NA,NA,NA,NA,NA
6880,NA,Female,Canada,20,Employed full-time,NA,NA,No,Yes,Data Analyst,Perfectly,Employed by government,No,Bachelor's degree,Mathematics or statistics,I don't write code to analyze data,NA,NA,NA,NA
6881,NA,Male,Canada,32,Employed full-time,NA,NA,No,Yes,Other,Perfectly,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,Mathematics or statistics,3 to 5 years,Python,NA,NA,NA
6882,NA,Male,Canada,50,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Bachelor's degree,Other,3 to 5 years,R,NA,NA,NA
6883,NA,Male,Canada,44,Employed full-time,NA,NA,Yes,NA,Engineer,Poorly,Employed by a company that doesn't perform advanced analytics,No,Doctoral degree,Engineering (non-computer focused),More than 10 years,NA,NA,NA,NA
6884,NA,Male,Canada,57,Employed full-time,NA,NA,Yes,NA,Operations Research Practitioner,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Master's degree,Other,More than 10 years,NA,NA,NA,NA
6885,NA,Male,Canada,35,I prefer not to say,No,"Yes, I'm focused on learning mostly data science skills",NA,NA,NA,NA,NA,Sort of (Explain more),Bachelor's degree,Other,NA,R,NA,NA,NA
6886,NA,Male,Canada,47,Employed full-time,NA,NA,Yes,NA,DBA/Database Engineer,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Computer Science,1 to 2 years,Python,125000,NA,NA
6887,NA,Male,Canada,21,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Machine Learning Engineer,Perfectly,Self-employed,Yes,Bachelor's degree,Computer Science,Less than a year,NA,NA,NA,NA
6888,NA,Female,Canada,23,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6889,NA,Female,Canada,23,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Bachelor's degree,Mathematics or statistics,1 to 2 years,NA,NA,NA,NA
6890,NA,Male,Canada,55,Employed full-time,NA,NA,Yes,NA,Other,Poorly,Employed by non-profit or NGO,No,Bachelor's degree,Electrical Engineering,6 to 10 years,NA,NA,NA,NA
6891,NA,Male,Canada,35,Employed full-time,NA,NA,Yes,NA,Programmer,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,NA,NA,NA,NA
6892,NA,Male,Canada,51,Employed full-time,NA,NA,Yes,NA,Other,Poorly,Employed by a company that performs advanced analytics,Sort of (Explain more),Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,NA,NA,NA,NA
6893,NA,Female,Canada,23,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,No,Master's degree,Computer Science,Less than a year,NA,NA,NA,NA
6894,NA,Male,Canada,31,"Independent contractor, freelancer, or self-employed",NA,NA,No,Yes,Other,Perfectly,Self-employed,Sort of (Explain more),Master's degree,Physics,3 to 5 years,Python,NA,NA,NA
6895,NA,Male,Canada,51,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Doctoral degree,Mathematics or statistics,More than 10 years,NA,NA,NA,NA
6896,NA,Male,Canada,52,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6897,NA,Male,Canada,NA,Employed full-time,NA,NA,Yes,NA,Other,NA,Employed by government,Yes,Master's degree,Engineering (non-computer focused),More than 10 years,NA,NA,NA,NA
6898,NA,Male,Chile,37,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Professional degree,NA,More than 10 years,NA,NA,NA,NA
6899,NA,Male,Chile,30,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by professional services/consulting firm,Yes,Bachelor's degree,Computer Science,3 to 5 years,R,50000,NA,NA
6900,NA,Male,Chile,22,"Not employed, and not looking for work",Yes,"Yes, but data science is a small part of what I'm focused on learning",NA,NA,NA,NA,NA,No,Some college/university study without earning a bachelor's degree,Computer Science,NA,Python,NA,NA,NA
6901,NA,Male,Chile,40,"Independent contractor, freelancer, or self-employed",NA,NA,No,Yes,Scientist/Researcher,Poorly,"Employed by company that makes advanced analytic software,Employed by college or university,Employed by non-profit or NGO,Employed by government,Self-employed",No,Some college/university study without earning a bachelor's degree,Computer Science,I don't write code to analyze data,Python,NA,NA,NA
6902,NA,Male,Chile,30,Employed full-time,NA,NA,No,Yes,Programmer,Poorly,Employed by a company that doesn't perform advanced analytics,No,Professional degree,NA,Less than a year,Java,NA,NA,NA
6903,NA,Male,Chile,31,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6904,NA,Male,Chile,33,Employed part-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Mathematics or statistics,6 to 10 years,R,NA,NA,NA
6905,NA,Male,Chile,29,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Master's degree,Other,Less than a year,R,NA,NA,NA
6906,NA,Male,Chile,27,Employed full-time,NA,NA,Yes,NA,Engineer,Fine,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Electrical Engineering,Less than a year,NA,NA,NA,NA
6907,NA,Female,Chile,27,Employed full-time,NA,NA,No,Yes,Researcher,Fine,Employed by a company that performs advanced analytics,No,Professional degree,NA,I don't write code to analyze data,NA,NA,NA,NA
6908,NA,Male,Chile,26,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,Engineering (non-computer focused),1 to 2 years,NA,NA,NA,NA
6909,NA,Male,Chile,23,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Bachelor's degree,Computer Science,1 to 2 years,Matlab,NA,NA,NA
6910,NA,Male,Chile,33,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Researcher,NA,NA,Yes,I prefer not to answer,A social science,3 to 5 years,NA,NA,NA,NA
6911,NA,Male,Chile,58,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Master's degree,Mathematics or statistics,More than 10 years,R,NA,NA,NA
6912,NA,Male,Chile,37,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by professional services/consulting firm,No,Master's degree,"Information technology, networking, or system administration",Less than a year,NA,NA,NA,NA
6913,NA,Male,Chile,31,Employed part-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,NA,Bachelor's degree,Computer Science,3 to 5 years,NA,NA,NA,NA
6914,NA,Male,Chile,52,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Analyst,Fine,Self-employed,Yes,Professional degree,NA,1 to 2 years,R,62000,NA,NA
6915,NA,Male,Chile,54,"Independent contractor, freelancer, or self-employed",NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6916,NA,Male,Chile,23,Employed part-time,NA,NA,Yes,NA,Computer Scientist,Poorly,Employed by professional services/consulting firm,Yes,Bachelor's degree,Computer Science,1 to 2 years,NA,NA,NA,NA
6917,NA,Male,Chile,28,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,NA,Professional degree,NA,3 to 5 years,NA,NA,NA,NA
6918,NA,Female,Chile,28,Employed full-time,NA,NA,Yes,NA,Data Analyst,Perfectly,Employed by government,Yes,NA,NA,NA,NA,NA,NA,NA
6919,NA,Female,Chile,28,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by college or university,No,Master's degree,Engineering (non-computer focused),3 to 5 years,NA,NA,NA,NA
6920,NA,Male,Chile,25,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,Yes,Master's degree,Computer Science,3 to 5 years,NA,NA,NA,NA
6921,NA,Male,Chile,28,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,NA,Professional degree,NA,1 to 2 years,NA,NA,NA,NA
6922,NA,Male,Chile,21,"Not employed, and not looking for work",Yes,"Yes, I'm focused on learning mostly data science skills",NA,NA,NA,NA,NA,No,Bachelor's degree,Electrical Engineering,NA,Python,NA,NA,NA
6923,NA,Male,Chile,22,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Bachelor's degree,Engineering (non-computer focused),1 to 2 years,R,NA,NA,NA
6924,NA,Male,Chile,29,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Scientist/Researcher,Poorly,Employed by college or university,No,Master's degree,Biology,1 to 2 years,NA,NA,NA,NA
6925,NA,Male,Chile,28,Employed full-time,NA,NA,Yes,NA,Business Analyst,Perfectly,Employed by company that makes advanced analytic software,Yes,Professional degree,NA,1 to 2 years,NA,NA,NA,NA
6926,NA,Male,Chile,39,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Self-employed,Yes,Master's degree,Computer Science,6 to 10 years,NA,NA,NA,NA
6927,NA,Male,Chile,39,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Master's degree,Other,3 to 5 years,NA,90000,NA,NA
6928,NA,Male,Colombia,40,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Poorly,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Bachelor's degree,"Information technology, networking, or system administration",3 to 5 years,Python,NA,NA,NA
6929,NA,Male,Colombia,47,Employed full-time,NA,NA,No,Yes,Data Scientist,Fine,Employed by college or university,NA,Master's degree,Mathematics or statistics,I don't write code to analyze data,R,NA,NA,NA
6930,NA,Male,Colombia,29,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Professional degree,NA,Less than a year,Python,NA,NA,NA
6931,NA,Male,Colombia,24,Employed full-time,NA,NA,No,Yes,Business Analyst,Poorly,Employed by a company that performs advanced analytics,Sort of (Explain more),Bachelor's degree,Engineering (non-computer focused),Less than a year,SQL,NA,NA,NA
6932,NA,Male,Colombia,26,Employed full-time,NA,NA,No,Yes,Computer Scientist,Fine,NA,No,Bachelor's degree,Computer Science,Less than a year,Python,NA,NA,NA
6933,NA,Male,Colombia,28,Employed full-time,NA,NA,Yes,NA,Predictive Modeler,Poorly,Employed by professional services/consulting firm,Yes,Professional degree,NA,1 to 2 years,R,20000,NA,NA
6934,NA,Male,Colombia,35,Employed full-time,NA,NA,Yes,NA,Other,Poorly,Employed by professional services/consulting firm,Yes,Professional degree,NA,1 to 2 years,R,8000,NA,NA
6935,NA,Male,Colombia,23,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Professional degree,NA,Less than a year,Python,NA,NA,NA
6936,NA,Male,Colombia,20,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Bachelor's degree,Electrical Engineering,Less than a year,Java,NA,NA,NA
6937,NA,Male,Colombia,31,Retired,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,"Employed by college or university,Employed by a company that performs advanced analytics,Employed by a company that doesn't perform advanced analytics,Employed by government",Yes,Doctoral degree,Computer Science,More than 10 years,Matlab,NA,NA,NA
6938,NA,Male,Colombia,28,Employed full-time,NA,NA,No,Yes,Software Developer/Software Engineer,Perfectly,Employed by professional services/consulting firm,Yes,Master's degree,Computer Science,Less than a year,Python,NA,NA,NA
6939,NA,Male,Colombia,0,Employed full-time,NA,NA,No,Yes,Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Master's degree,Engineering (non-computer focused),1 to 2 years,Python,NA,NA,NA
6940,NA,Male,Colombia,69,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Master's degree,NA,1 to 2 years,Python,NA,NA,NA
6941,NA,Male,Colombia,27,Employed full-time,NA,NA,Yes,NA,Data Miner,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Master's degree,Mathematics or statistics,3 to 5 years,R,30000,NA,NA
6942,NA,Female,Colombia,26,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Professional degree,NA,3 to 5 years,Python,8800,NA,NA
6943,NA,Male,Colombia,21,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Bachelor's degree,Other,3 to 5 years,Python,NA,NA,NA
6944,NA,Male,Colombia,36,"Independent contractor, freelancer, or self-employed",NA,NA,No,Yes,Business Analyst,Fine,Employed by government,Sort of (Explain more),Master's degree,Computer Science,6 to 10 years,R,NA,NA,NA
6945,NA,Male,Colombia,37,I prefer not to say,Yes,"Yes, I'm focused on learning mostly data science skills",NA,NA,NA,NA,NA,Sort of (Explain more),Master's degree,Electrical Engineering,NA,Python,NA,NA,NA
6946,NA,Male,Colombia,36,Employed full-time,NA,NA,No,Yes,Other,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Mathematics or statistics,I don't write code to analyze data,R,NA,NA,NA
6947,NA,Male,Colombia,41,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Professional degree,NA,Less than a year,Matlab,NA,NA,NA
6948,NA,Male,Colombia,23,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Bachelor's degree,Physics,3 to 5 years,Python,NA,NA,NA
6949,NA,Male,Colombia,33,Employed full-time,NA,NA,No,Yes,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,No,Bachelor's degree,Computer Science,3 to 5 years,Python,NA,NA,NA
6950,NA,Female,Colombia,26,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Mathematics or statistics,6 to 10 years,Python,NA,NA,NA
6951,NA,Male,Colombia,43,Employed full-time,NA,NA,No,Yes,Researcher,Fine,Employed by college or university,Yes,Master's degree,Engineering (non-computer focused),More than 10 years,SAS,NA,NA,NA
6952,NA,Male,Colombia,40,Employed full-time,NA,NA,Yes,NA,Statistician,Poorly,Employed by a company that performs advanced analytics,Yes,Master's degree,Mathematics or statistics,6 to 10 years,Python,16000,NA,NA
6953,NA,Male,Colombia,39,Employed full-time,NA,NA,Yes,NA,Other,Perfectly,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software",No,Master's degree,Electrical Engineering,Less than a year,Python,85000,NA,NA
6954,NA,Female,Colombia,29,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Poorly,Employed by a company that performs advanced analytics,No,Master's degree,Computer Science,1 to 2 years,Matlab,40,NA,NA
6955,NA,Male,Colombia,23,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by college or university,Yes,Bachelor's degree,Electrical Engineering,1 to 2 years,NA,NA,NA,NA
6956,NA,Male,Colombia,34,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Other,Fine,Self-employed,No,Bachelor's degree,Fine arts or performing arts,Less than a year,NA,NA,NA,NA
6957,NA,Male,Colombia,22,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Bachelor's degree,Physics,Less than a year,NA,NA,NA,NA
6958,NA,Female,Colombia,27,Employed full-time,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6959,NA,Male,Colombia,40,Employed full-time,NA,NA,Yes,NA,Engineer,Fine,Employed by professional services/consulting firm,No,Professional degree,NA,1 to 2 years,NA,NA,NA,NA
6960,NA,Male,Colombia,26,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Master's degree,Mathematics or statistics,3 to 5 years,NA,NA,NA,NA
6961,NA,Male,Colombia,48,"Independent contractor, freelancer, or self-employed",NA,NA,No,Yes,Software Developer/Software Engineer,Poorly,Self-employed,No,Master's degree,NA,Less than a year,Python,NA,NA,NA
6962,NA,Male,Colombia,35,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Master's degree,Computer Science,Less than a year,Python,NA,NA,NA
6963,NA,Male,Colombia,31,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Master's degree,Mathematics or statistics,1 to 2 years,Python,NA,NA,NA
6964,NA,Male,Colombia,32,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,Sort of (Explain more),Doctoral degree,Computer Science,3 to 5 years,Matlab,NA,NA,NA
6965,NA,Male,Colombia,28,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,"Employed by a company that performs advanced analytics,Employed by government",No,Master's degree,Engineering (non-computer focused),3 to 5 years,NA,NA,NA,NA
6966,NA,Male,Colombia,53,Employed full-time,NA,NA,No,Yes,Other,Fine,Employed by government,Sort of (Explain more),Master's degree,Electrical Engineering,1 to 2 years,R,NA,NA,NA
6967,NA,Male,Colombia,34,"Independent contractor, freelancer, or self-employed",NA,NA,No,Yes,Engineer,Perfectly,Self-employed,No,Professional degree,NA,I don't write code to analyze data,Python,NA,NA,NA
6968,NA,Female,Colombia,23,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Yes,Professional degree,NA,1 to 2 years,NA,NA,NA,NA
6969,NA,Male,Colombia,35,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,Yes,Doctoral degree,Computer Science,6 to 10 years,NA,NA,NA,NA
6970,NA,Male,Colombia,34,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by a company that doesn't perform advanced analytics,No,Master's degree,Engineering (non-computer focused),6 to 10 years,R,NA,NA,NA
6971,NA,Male,Colombia,31,Employed part-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by college or university,No,Master's degree,Computer Science,1 to 2 years,Python,NA,NA,NA
6972,NA,Male,Colombia,38,Employed full-time,NA,NA,No,Yes,Engineer,Poorly,Employed by college or university,No,Master's degree,Engineering (non-computer focused),1 to 2 years,R,NA,NA,NA
6973,NA,Male,Colombia,21,"Not employed, and not looking for work",Yes,"Yes, I'm focused on learning mostly data science skills",NA,NA,NA,NA,NA,No,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),NA,Python,NA,NA,NA
6974,NA,Female,Colombia,24,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Business Analyst,Poorly,Employed by college or university,Sort of (Explain more),Bachelor's degree,Computer Science,1 to 2 years,NA,NA,NA,NA
6975,NA,Male,Colombia,30,Employed full-time,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6976,NA,Male,Colombia,44,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by college or university,Yes,Doctoral degree,Computer Science,More than 10 years,NA,NA,NA,NA
6977,NA,Male,Colombia,23,Employed part-time,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6978,NA,Female,Colombia,37,"Independent contractor, freelancer, or self-employed",NA,NA,No,Yes,Researcher,Fine,Employed by government,Yes,Master's degree,Other,3 to 5 years,R,NA,NA,NA
6979,NA,Female,Colombia,30,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Master's degree,Electrical Engineering,3 to 5 years,Python,37000,NA,NA
6980,NA,Female,Colombia,27,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,NA,Master's degree,Computer Science,3 to 5 years,NA,NA,NA,NA
6981,NA,Male,Colombia,21,"Not employed, and not looking for work",Yes,"Yes, but data science is a small part of what I'm focused on learning",NA,NA,NA,NA,NA,No,Bachelor's degree,Engineering (non-computer focused),NA,Matlab,NA,NA,NA
6982,NA,Male,Colombia,30,"Independent contractor, freelancer, or self-employed",NA,NA,No,Yes,Other,Fine,Employed by professional services/consulting firm,No,Professional degree,NA,Less than a year,NA,NA,NA,NA
6983,NA,Male,Colombia,32,Employed full-time,NA,NA,Yes,NA,Computer Scientist,Perfectly,Employed by professional services/consulting firm,No,Professional degree,NA,6 to 10 years,NA,NA,NA,NA
6984,NA,Male,Colombia,33,Employed part-time,NA,NA,No,Yes,Computer Scientist,Fine,Employed by a company that doesn't perform advanced analytics,No,Some college/university study without earning a bachelor's degree,NA,NA,NA,NA,NA,NA
6985,NA,Female,Colombia,21,"Not employed, and not looking for work",Yes,"Yes, I'm focused on learning mostly data science skills",NA,NA,NA,NA,NA,No,Professional degree,NA,NA,Python,NA,NA,NA
6986,NA,Male,Colombia,26,Employed full-time,NA,NA,No,Yes,Other,Poorly,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Master's degree,Engineering (non-computer focused),1 to 2 years,NA,NA,NA,NA
6987,NA,Male,Colombia,38,I prefer not to say,Yes,"Yes, I'm focused on learning mostly data science skills",NA,NA,NA,NA,NA,No,Master's degree,"Information technology, networking, or system administration",NA,NA,NA,NA,NA
6988,NA,Male,Colombia,32,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Programmer,Poorly,Self-employed,No,Bachelor's degree,NA,3 to 5 years,NA,NA,NA,NA
6989,NA,Female,Colombia,34,Employed full-time,NA,NA,No,Yes,Engineer,Poorly,Employed by professional services/consulting firm,No,Professional degree,NA,Less than a year,R,NA,NA,NA
6990,NA,Male,Colombia,27,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics,Employed by a company that doesn't perform advanced analytics",No,Bachelor's degree,Mathematics or statistics,1 to 2 years,NA,NA,NA,NA
6991,NA,Male,Colombia,27,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by company that makes advanced analytic software,Yes,Master's degree,Engineering (non-computer focused),3 to 5 years,NA,NA,NA,NA
6992,NA,Female,Colombia,29,Employed part-time,NA,NA,Yes,NA,Researcher,Fine,Employed by college or university,Yes,Doctoral degree,"Information technology, networking, or system administration",3 to 5 years,NA,NA,NA,NA
6993,NA,Female,Colombia,24,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,No,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",I don't write code to analyze data,Python,NA,NA,NA
6994,NA,Female,Colombia,40,Employed full-time,NA,NA,Yes,NA,Computer Scientist,Perfectly,Employed by college or university,Yes,Doctoral degree,Computer Science,6 to 10 years,NA,NA,NA,NA
6995,NA,Male,Colombia,26,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,Sort of (Explain more),Master's degree,Computer Science,1 to 2 years,NA,NA,NA,NA
6996,NA,Male,Colombia,28,Employed part-time,NA,NA,Yes,NA,Engineer,Fine,Employed by company that makes advanced analytic software,Yes,Master's degree,Computer Science,1 to 2 years,NA,NA,NA,NA
6997,NA,Male,Czech Republic,21,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that doesn't perform advanced analytics,Yes,Some college/university study without earning a bachelor's degree,Mathematics or statistics,1 to 2 years,Python,NA,NA,NA
6998,NA,Female,Czech Republic,21,Employed part-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6999,NA,Male,Czech Republic,33,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,Fine,"Employed by professional services/consulting firm,Self-employed",NA,Doctoral degree,Mathematics or statistics,3 to 5 years,R,NA,NA,NA
7000,NA,Male,Czech Republic,39,Employed full-time,NA,NA,Yes,NA,Data Scientist,Poorly,Employed by professional services/consulting firm,NA,Master's degree,Computer Science,6 to 10 years,R,1.00E+05,NA,NA
7001,NA,Male,Czech Republic,27,Employed full-time,NA,NA,Yes,NA,Other,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,Computer Science,3 to 5 years,Python,NA,NA,NA
7002,NA,Female,Czech Republic,29,"Not employed, but looking for work",NA,NA,NA,NA,NA,NA,NA,Sort of (Explain more),Master's degree,NA,Less than a year,R,NA,NA,NA
7003,NA,Male,Czech Republic,44,Employed full-time,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
